CODINST;NOMBREINSTITUCION;CODIGOMUNICIPIO;NOMBREMUNICIPIO;DEPARTAMENTO;CALENDARIO;NATURALEZA;JORNADA;EVALUADOS;PROMLECTURACRITICA;PROMMATEMATICA;PROMSOCIALESYCIUDADANAS;PROMCIENCIASNATURALES;PROMINGLES;DESVLECTURACRITICA;DESVMATEMATICA;DESVSOCIALESYCIUDADANAS;DESVCIENCIASNATURALES;DESVINGLES;PERIODO
47449;INST. EDU. NZADO. EL PASO;20250;EL PASO;CESAR;A;OFICIAL;MANANA;67;46,98;43,62;43,85;46,4;45,98;7,28;9,19;8,48;6,82;9,22;20162
47456;COL DIOCESANO JUAN PABLO II;23001;MONTERIA;CORDOBA;A;NO OFICIAL;MANANA;60;62,66;62,18;61,75;62,81;64,13;9,02;9,62;8,3;8,76;12,8;20162
47472;LIC MAXIMO MERCADO;23001;MONTERIA;CORDOBA;A;NO OFICIAL;MANANA;58;55,51;52,87;54,15;54,7;54;7,73;9,93;8,59;7,56;9,42;20162
47480;SANTA TERESITA;23686;SAN PELAYO;CORDOBA;A;OFICIAL;TARDE;21;48,85;44,85;47,28;48,8;44,61;8,26;10,59;9,29;9,92;8,69;20162
47506;IE ARMANDO LUNA ROA - SEDE PRINCIPAL;27001;QUIBDO;CHOCO;A;OFICIAL;MANANA;48;45,04;41,27;42;43,35;45,85;6,57;8,86;9,36;6,97;8,29;20162
47514;IE ATRATO DE LLORO - SEDE PRINCIPAL;27413;LLORO;CHOCO;A;OFICIAL;MANANA;52;42,96;37,5;38,96;41,55;43,15;6,84;7,99;7,47;7,36;7,33;20162
47522;IE NUESTRA SEORA DE LA POBREZA DE TADO - SEDE PRINCIPAL;27787;TADO;CHOCO;A;OFICIAL;MANANA;77;44,33;39,48;39,77;40,71;42,32;6,88;8,06;7,74;6,77;7,42;20162
47530;INSTITUCIN EDUCATIVA NUESTRA SEORA DEL CARMEN;44378;HATONUEVO;LA GUAJIRA;A;OFICIAL;MANANA;124;45,68;41,91;42,02;44,11;43,03;7,4;8,95;9,2;8,21;7,22;20162
47563;I. E. TCNICA PROMOCION SOCIAL;44874;VILLANUEVA;LA GUAJIRA;A;OFICIAL;MANANA;64;51,46;47,92;49,42;51,43;47,29;9,51;11,13;9,5;7,99;8,23;20162
47571;ACADEMIA MILITAR GENERAL JOSE ANTONIO ANZOATEGUI;41001;NEIVA;HUILA;A;NO OFICIAL;COMPLETA;30;54,46;61,73;55,33;56,63;54,03;7,07;9;7,49;6,35;7,82;20162
47605;INSTITUTO TECNICO IPC ANDRES ROSA;41001;NEIVA;HUILA;A;OFICIAL;MANANA;37;51,24;50,21;48,89;51,81;49,45;7,95;8,5;8,76;7,23;5,51;20162
47613;TECNICO SUPERIOR;41001;NEIVA;HUILA;A;OFICIAL;TARDE;81;53,97;55,85;53,19;55,43;55,55;9,07;9,4;10,42;8,37;8,87;20162
47621;MARIA AUXILIADORA;41244;ELIAS;HUILA;A;OFICIAL;COMPLETA;37;55,7;55,62;52,43;56,35;51,54;8,07;10,19;8,17;7;8,91;20162
47639;SAN LORENZO;41770;SUAZA;HUILA;A;OFICIAL;MANANA;97;51,15;48,09;50,05;52,74;49,24;7,54;8,42;8,28;6,4;7,85;20162
47654;LICEO EL SUR VICTOR DE LIMA;47001;SANTA MARTA;MAGDALENA;A;OFICIAL;MANANA;31;47,96;44,7;44,9;47,48;46,16;7,89;9,08;10,3;8,37;8,77;20162
47688;COLEGIO LA SEGUNDA ENSEANZA;47030;ALGARROBO;MAGDALENA;A;OFICIAL;COMPLETA;65;42,73;36,8;38,16;42,1;41,89;6,6;6,75;7,02;6,37;5,74;20162
47696;COLEGIO LA INMACULADA CONCEPCION;47555;PLATO;MAGDALENA;A;NO OFICIAL;MANANA;22;58,59;56,31;54,09;57,45;56,72;10,36;9,91;10,79;7,73;10,8;20162
47704;COL NAL DE BTO JUAN MANUEL RUDAS;47605;REMOLINO;MAGDALENA;A;OFICIAL;MANANA;64;45,29;39,92;42,26;45,5;43,76;7,5;8,68;7,86;6,64;6,69;20162
47753;SEDE PRINCIPAL - LEJANIAS;50400;LEJANIAS;META;A;OFICIAL;MANANA;91;51,54;51,28;49,65;52,39;47,4;7,68;10,05;8,78;7,06;7,94;20162
47761;SEDE PRINCIPAL - EMILIANO RESTREPO ECHAVARRIA;50606;RESTREPO;META;A;OFICIAL;NOCTURNA;9;50,22;45,22;46,11;45;44,77;5,16;6,59;5,44;5,07;6,11;20162
47787;COL DIOCESANO MONSEOR PACHECO;54498;OCAA;NORTE SANTANDER;A;NO OFICIAL;TARDE;30;50,3;48,83;48,9;52,53;50,16;8,89;9,65;8,45;4,94;9,43;20162
47829;FABIO VASQUEZ BOTERO;66170;DOS QUEBRADAS;RISARALDA;A;OFICIAL;MANANA;50;52,12;49,92;49,82;53,02;53,24;8,26;9,22;8,8;6,23;8,86;20162
47837;LICEO DE OCCIDENTE;66383;LA CELIA;RISARALDA;A;OFICIAL;NOCTURNA;14;47,21;45,57;43,14;46,64;45,07;7,53;10,4;8,37;6,73;6,83;20162
47845;I.E. AGRICOLA LA FLORIDA - SEDE PRINCIPAL;66682;SANTA ROSA DE CABAL;RISARALDA;A;OFICIAL;MANANA;20;47,4;48,2;46,3;49,35;46,5;7,35;10,05;8,46;7,62;9,86;20162
47860;INSTITUTO INTEGRADO DE COMERCIO CAMILO TORRES;68255;EL PLAYON;SANTANDER;A;OFICIAL;MANANA;40;53,92;57,37;52,12;55,1;48,55;8,81;8,24;8,56;6,36;7,33;20162
47886;COLEGIO  JOSE MARIA LANDAZURI;68385;LANDAZURI;SANTANDER;A;OFICIAL;MANANA;51;54,9;53,76;51,54;56,62;47,62;7,63;8,92;8,34;6,77;7,56;20162
47894;CONCENTRACION DE DESARROLLO RURAL - SEDE PRINCIPAL;68855;VALLE DE SAN JOSE;SANTANDER;A;OFICIAL;COMPLETA;42;55,4;55,88;55,35;54,85;49,11;6,94;8,78;6,55;7,07;7,54;20162
47902;INSTITUCION EDUCATIVA SAN ISIDRO DE CHOCHO;70001;SINCELEJO;SUCRE;A;OFICIAL;MANANA;45;50,77;48,84;49,06;52,95;48,48;9,05;8,58;9,49;8,67;8,84;20162
47910;I.E. SANTA TERESITA - SEDE PRINCIPAL;70820;TOLU;SUCRE;A;OFICIAL;MANANA;57;55,54;51,29;55,12;55,49;52,49;7,36;7,49;7,43;6,85;7,84;20162
47928;COL COOP  LOS ANDES;73001;IBAGUE;TOLIMA;A;NO OFICIAL;TARDE;24;51,5;47,25;47,33;51,2;52,54;7,8;8,69;8,18;7,3;7,15;20162
47951;I.E. ANAIME - SEDE PRINCIPAL;73124;CAJAMARCA;TOLIMA;A;OFICIAL;MANANA;14;50,42;49,71;52,5;55;48,07;9,43;11,2;7,24;7,88;9,35;20162
47969;I.E. SIMON BOLIVAR - SEDE PRINCIPAL;73200;COELLO;TOLIMA;A;OFICIAL;MANANA;28;50,85;49,07;47,96;50,57;47,96;7,66;10,65;8,93;8,64;10,3;20162
47993;INSTITUCION EDUCATIVA TECNICA TULIO VARON;73585;PURIFICACION;TOLIMA;A;OFICIAL;MANANA;31;47,29;43,16;42,83;45,58;46;8,98;10,41;9,6;9,2;7,76;20162
48009;I.E. PABLO VI - SEDE PRINCIPAL;73675;SAN ANTONIO;TOLIMA;A;OFICIAL;MANANA;36;47,97;44,22;47,13;50,72;47,22;8,8;10,29;8,85;6,68;8,87;20162
48066;IE CENTRO SOCIAL;85001;YOPAL;CASANARE;A;OFICIAL;MANANA;160;60,51;61,74;60,56;59,98;65,2;7,4;8,8;8,78;7,66;9,33;20162
48082;I.E. CAMPO ELIAS CORTES - SEDE PRINCIPAL;15090;BERBEO;BOYACA;A;OFICIAL;COMPLETA;24;53,87;55,04;54,16;55,33;57,7;7,96;9,48;8,28;6,06;7,84;20162
48108;INSTITUCION EDUCATIVA DEPARTAMENTAL ANTONIO RICAURTE;25612;RICAURTE;CUNDINAMARCA;A;OFICIAL;MANANA;66;52,4;48,78;49,21;50,18;49,51;8,46;10,16;10,12;9,65;9,43;20162
48132;COL MONSEOR SARMIENTO PERALTA;54720;SARDINATA;NORTE SANTANDER;A;OFICIAL;MANANA;20;45,85;43,4;43,95;47;45,05;9,3;9,36;8,56;7,27;6,98;20162
48165;I. E.  LLANADAS;5501;OLAYA;ANTIOQUIA;A;OFICIAL;COMPLETA;17;46,47;42,58;43,7;44,88;45,58;6,82;8,93;8,28;7,36;8,34;20162
48173;I.E. LOPEZ QUEVEDO;15368;JERICO;BOYACA;A;OFICIAL;COMPLETA;53;45,64;43,71;43,66;46,9;42,77;8,7;8,92;9,75;8,05;6,92;20162
48181;COLEGIO MIXTO EL CONCORDE;8433;MALAMBO;ATLANTICO;A;NO OFICIAL;MANANA;27;48,59;45;45;46,33;45,48;7,22;8,29;9,55;6,94;5,5;20162
48199;LICEO MODERNO DE SOLEDAD;8758;SOLEDAD;ATLANTICO;A;NO OFICIAL;MANANA;40;52,55;51,47;48,87;52,75;51,35;8,16;10,06;8,1;7,61;7,91;20162
48207;RAFAEL URIBE URIBE;85263;PORE;CASANARE;A;OFICIAL;MANANA;60;51,43;53,2;50,45;54,5;51,35;7,65;8,79;9,34;7,27;8,23;20162
48215;INSTITUCIN EDUCATIVA RURAL MIGUEL PINEDO BARROS;44090;DIBULLA;LA GUAJIRA;A;OFICIAL;MANANA;34;47,91;42,52;43,29;48,2;45,94;9;8,4;9,32;9,02;8,14;20162
48249;INSTITUCIN EDUCATIVA DEPARTAMENTAL DE DESARROLLO RURAL;25281;FOSCA;CUNDINAMARCA;A;OFICIAL;COMPLETA;11;46,54;49,81;46,09;54,45;46,09;5,41;7,12;6,56;5,12;7,02;20162
48256;I.E. LATORRE GMEZ - SEDE PRINCIPAL;95025;EL RETORNO;GUAVIARE;A;OFICIAL;MANANA;55;50,76;50,16;45,7;50,2;44,87;7,55;9,82;7,29;7,56;6,54;20162
48264;SEDE PRINCIPAL - CAMPESTRE SAN JOSE;50006;ACACIAS;META;A;OFICIAL;MANANA;19;57,63;53,42;54,15;56,42;51,31;7,44;8,03;7,66;5,89;10,39;20162
48272;I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO - SEDE PRINCIPAL;15135;CAMPOHERMOSO;BOYACA;A;OFICIAL;COMPLETA;9;59,88;58,77;57,66;58,11;53,55;3,48;7,34;3,67;6,25;4,03;20162
48280;INSTITUCIN EDUCATIVA SAN PIO X;17001;MANIZALES;CALDAS;A;OFICIAL;MANANA;56;54,6;54,6;52,53;55,83;53,96;8,56;10,35;10,35;7,5;10,26;20162
48322;INSTITUCIN EDUCATIVA SANTA FE;76001;CALI;VALLE;A;OFICIAL;MANANA;110;53,46;49,42;50,84;51,75;52,99;8,75;9,26;8,92;8,21;9,17;20162
48389;LICEO DE OCCIDENTE;76109;BUENAVENTURA;VALLE;A;NO OFICIAL;TARDE;15;60,53;60,73;59,06;60,73;61,93;9;10,28;9,8;9,68;15,56;20162
48413;COL ALONSO ARAGON QUINTERO;76111;BUGA;VALLE;A;NO OFICIAL;NOCTURNA;21;51,19;46,09;48,66;50,14;48,42;9,39;8,44;8,83;6,33;10,08;20162
48421;I.E.M. NUESTRA SEORA DE GUADALUPE - SEDE PRINCIPAL;52001;PASTO;NARIO;A;OFICIAL;MANANA;40;54,27;53,82;51,65;57,77;55,42;7,58;11,19;9,85;8,66;7,2;20162
48439;I.E.M. JOSE ANTONIO GALAN - SEDE PRINCIPAL;52001;PASTO;NARIO;A;OFICIAL;MANANA;44;53,68;55,61;52,22;57,02;55,4;7,39;10,56;10,63;7,61;9,08;20162
48447;INSTITUCION EDUCATIVA DE DESARROLLO RURAL DE BERRUECOS;52051;ARBOLEDA (BERRUECOS);NARIO;A;OFICIAL;MANANA;35;52,25;49,51;51,37;53,22;52,85;9,69;11,32;10,63;8,73;9,22;20162
48454;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;52110;BUESACO;NARIO;A;OFICIAL;MANANA;14;50,28;52,64;51,14;53;49,78;6,47;7,89;8,09;7,21;7,47;20162
48470;SAN FRANCISCO JAVIER (sede principal);19397;LA VEGA;CAUCA;A;OFICIAL;MANANA;22;48,77;45,86;44,59;47,59;46,63;5,38;7,49;8,89;6,46;4,88;20162
48488;SEDE DON BOSCO;19001;POPAYAN;CAUCA;A;OFICIAL;COMPLETA;93;56,61;58,37;56,22;59,09;58,11;8,64;10,66;9,63;8,56;10,83;20162
48496;SEDE COMERCIAL DEL NORTE;19001;POPAYAN;CAUCA;A;OFICIAL;NOCTURNA;51;45,72;41,23;42,98;47,23;46,27;6,62;9,32;6,33;6,06;7,15;20162
48504;SAN ALFONSO (sede principal);19075;BALBOA;CAUCA;A;OFICIAL;MANANA;29;48,48;44,72;45,82;47,68;48,41;6,99;9,14;9,25;6,93;6,75;20162
48512;DOMINGO BELISARIO GOMEZ (sede principal);19100;BOLIVAR;CAUCA;A;OFICIAL;MANANA;69;49,11;47,63;45,56;48,63;45,71;7,8;9,04;9,55;8,42;8,55;20162
48520;SANTIAGO RENGIFO SALCEDO;76130;CANDELARIA;VALLE;A;OFICIAL;MANANA;198;50,07;47,77;47,16;49,83;52,01;8,26;9,51;9,23;7,44;8,1;20162
48538;JOSE MARIA OBANDO (sede principal);19212;CORINTO;CAUCA;A;OFICIAL;NOCTURNA;4;46,5;44,5;39,75;44,5;47;2,64;7,32;6,7;6,45;7,43;20162
48546;I.E. AGROPECUARIA LOS COMUNEROS - SEDE PRINCIPAL;19760;SOTARA (PAISPAMBA);CAUCA;A;OFICIAL;COMPLETA;21;47;43,85;43,14;47,38;47,42;6,98;7,95;7,74;7,1;6,38;20162
48611;I.E. BACHILLERATO TECNICO AGRICOLA DE JAMBALO;19364;JAMBALO;CAUCA;A;OFICIAL;COMPLETA;84;47,33;43,27;42,86;48,35;42,65;6,75;9,32;7,65;7,08;7,29;20162
48629;INSTITUCION EDUCATIVA EL CANAL NOCTURNO MARIANO OSPINA PEREZ;52250;EL CHARCO;NARIO;A;OFICIAL;TARDE;14;44,21;40,28;41,21;44,42;43,78;8,72;11,72;9,72;10,94;8,06;20162
48637;INSTITUCION EDUCATIVA VILLA DEL SUR;76001;CALI;VALLE;A;OFICIAL;MANANA;74;55,59;53,35;53,6;55,27;58,36;7,27;8,27;8,03;6,09;10,26;20162
48660;CENT EDUC DIST MANUEL ELKIN PATARROYO;11001;BOGOT D.C.;BOGOTA;A;OFICIAL;MANANA;17;55,64;55,7;55,52;57,52;57,76;8,08;11,55;8,99;7,73;10,62;20162
48678;CENT EDUC DIST EDUC BAS Y MEDIA SAN PEDRO CLAVER;11001;BOGOT D.C.;BOGOTA;A;OFICIAL;TARDE;58;56,77;56,53;54,1;57,29;53,6;7,75;6,71;8,7;6,28;8,49;20162
48686;CENT EDUC DIST FABIO LOZANO SIMONELLI;11001;BOGOT D.C.;BOGOTA;A;OFICIAL;TARDE;29;51,82;50,86;48,75;53,51;53,93;8,75;10,05;8,3;6,75;7,56;20162
48702;COL DIST JOSE ASUNCION SILVA;11001;BOGOT D.C.;BOGOTA;A;OFICIAL;MANANA;69;56,85;56,27;55,89;57,52;56,98;7,13;8,32;9,3;6,8;9,17;20162
48728;COL EUCARISTICO MERCEDARIO;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;MANANA;45;63,2;61,31;62,68;62,35;71,57;7,64;7,99;7,33;7,24;11,13;20162
48736;COL FERNANDO V DE ARAGON Y CASTILLA;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;16;51,93;50,12;52,12;54,5;56,43;6,82;10,3;8,56;5,97;9,43;20162
48744;COL PARROQ SAN JUAN BAUTISTA DE LA SALLE;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;54;60,85;62,24;61,18;61,51;64,55;7,88;9,41;7,37;7,72;9,55;20162
48751;COL PRINCIPE DE PAZ;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;39;51,76;52,64;49,2;52,79;54,38;8,45;8,35;8,04;7,44;9,12;20162
48785;GIMN CECIL REDDIE;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;21;56,76;53,28;55,85;56,04;61,52;6,99;8,87;7,91;5,75;8,3;20162
48819;INST DE EDUC ELEMENTAL PREESCOLAR Y SECUNDARIA  INELPRES;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;17;60,47;56,05;60,05;61,17;68,52;5,38;8,45;6,83;7,79;7,35;20162
48827;LIC CIAL LAS AMERICAS;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;89;58,35;58,86;58,86;60,33;62,37;7,65;7,55;9,26;6,48;9,06;20162
48843;COL LUIGI PIRANDELLO - SEDE PRINCIPAL;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;59;61,72;60,47;60,64;60,69;69,22;7,47;8,07;8,4;7,33;7,77;20162
48892;COL CASABLANCA;11001;BOGOT D.C.;BOGOTA;A;NO OFICIAL;COMPLETA;104;55,65;54,94;54,73;56,52;58,39;8,13;9,06;8,9;7,56;10,19;20162
48967;I.E.M TCNICA COMERCIAL SANTA RITA - SEDE PRINCIPAL;25269;FACATATIVA;CUNDINAMARCA;A;OFICIAL;COMPLETA;147;58,08;57,78;59,08;57,87;58,65;7,73;7,7;8,44;7,05;9,02;20162
48975;COL PARROQIAL LA CONSOLATA;25320;GUADUAS;CUNDINAMARCA;A;NO OFICIAL;MANANA;14;58,71;58,28;56,71;60,92;56,85;8,03;5,78;5,01;4,58;7,69;20162
48983;INSTITUCION EDUCATIVA DEPARTAMENTAL ORESTE SINDICI;25488;NILO;CUNDINAMARCA;A;OFICIAL;MANANA;40;50,27;49,67;49,35;52,4;53,4;6,86;8,43;8,38;6,4;7,71;20162
49007;INSTITUTO KENNEDY LTDA;25307;GIRARDOT;CUNDINAMARCA;A;NO OFICIAL;COMPLETA;20;52,45;54;51,55;54,7;53,85;8,46;8,87;6,24;8,17;9,86;20162
49031;COL SANTA BERTILLA BOSCARDIN;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;82;62,63;60,15;61,13;61,29;62,14;7,94;8,88;7,92;8,04;11,16;20162
49056;INST EDUC MERCEDITAS GOMEZ MARTINEZ;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;92;54,25;51,46;52,86;51,13;52,04;8,63;9,61;8,83;8,37;10,59;20162
49064;INST EDUC ALFONSO LOPEZ PUMAREJO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;78;54,64;53,57;53,11;53,32;54,84;6,66;9,66;7,86;7,74;8,45;20162
49072;INST EDUC FELIX DE BEDOUT MORENO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;51;55,01;51,76;52,98;53,17;53,5;6,99;8,84;8,03;8,56;9,63;20162
49080;INST EDUC TRICENTENARIO;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;65;55,16;50,93;52,73;52,58;53,96;7,66;11,21;9,43;7,98;9,82;20162
49106;COLEGIO COLOMBO FRANCES;5380;LA ESTRELLA;ANTIOQUIA;A;NO OFICIAL;MANANA;31;62,06;57,12;60,48;59;74,51;8,3;7,88;8,29;8,27;10,76;20162
49122;COLEGIO NOCTURNO EL BAGRE;5250;EL BAGRE;ANTIOQUIA;A;OFICIAL;NOCTURNA;35;44,8;37,25;41,82;40,82;41,94;7,91;6,58;8,72;7,45;6,72;20162
49130;I. E. LLANO GRANDE;5282;FREDONIA;ANTIOQUIA;A;OFICIAL;COMPLETA;17;48,29;41,94;45,17;46,88;50,58;8,17;9,98;10,51;7,08;9,85;20162
49148;I. E. MARIA AUXILIADORA;5034;ANDES;ANTIOQUIA;A;OFICIAL;MANANA;72;59,15;57,36;57,41;58,98;53,86;7,38;8,7;9,51;8,54;10,27;20162
49163;I. E. R. CHAPARRAL;5318;GUARNE;ANTIOQUIA;A;OFICIAL;TARDE;37;56,27;54,02;53,24;54,81;54,02;7,88;8,39;8,92;6,19;9,26;20162
49171;LICEO PBRO LUIS RODOLFO GOMEZ RAMIREZ;5697;SANTUARIO;ANTIOQUIA;A;OFICIAL;NOCTURNA;16;49,37;44,12;45,43;46,68;48,68;10,62;10,37;9,46;5,51;8,66;20162
49189;COLEGIO SEMINARIO CORAZONISTA;5440;MARINILLA;ANTIOQUIA;A;NO OFICIAL;COMPLETA;24;67,45;72,45;68,12;69,29;80,25;7,38;6,41;5,86;4,46;8,34;20162
49197;I. E. VERSALLES;5679;SANTA BARBARA;ANTIOQUIA;A;OFICIAL;COMPLETA;29;51,44;49,03;50,34;50,1;47,79;6,6;9,69;7,37;8,37;8,2;20162
49239;COL METROPOLITANO DEL SUR MIXTO;8001;BARRANQUILLA;ATLANTICO;A;NO OFICIAL;MANANA;9;55,77;55,11;52,66;54,88;56,88;6,33;9,77;5,54;7,32;13,02;20162
49296;INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO;13001;CARTAGENA;BOLIVAR;A;OFICIAL;TARDE;63;48,69;45,44;47,38;48,77;46,38;8,89;10,79;9,62;8,79;7,96;20162
49312;CORP COLEGIO LICEO CENTRAL MIXTO;13001;CARTAGENA;BOLIVAR;A;NO OFICIAL;TARDE;16;44,43;43,56;42,25;44,68;43,43;6,82;9,83;5,92;9;6,47;20162
49320;CASCAJAL;13430;MAGANGUE;BOLIVAR;A;OFICIAL;MANANA;50;50,62;47,9;48,66;51,46;45,6;7,27;8,87;7,9;7,15;7,92;20162
49346;I.E. ACADEMICA Y TECNICA EN GESTION EMPRESARIAL DIOGENES A. ARRIETA - SEDE PRINCIPAL;13657;SAN JUAN NEPOMUCENO;BOLIVAR;A;OFICIAL;TARDE;34;44,17;41,67;41,23;43,08;42,11;5,97;10,33;8,69;7,84;6,65;20162
49353;INSTITUCION EDUCATIVA SAN CAYETANO;13657;SAN JUAN NEPOMUCENO;BOLIVAR;A;OFICIAL;MANANA;39;48,94;46,94;45,28;49,35;44,1;8,57;8,08;8,21;6,85;7,79;20162
49361;INSTITUCION EDUCATIVA TECNICO AGROPUECUARIA SAN JOSE DE CLEMENCIA - SEDE PRINCIPAL;13222;CLEMENCIA;BOLIVAR;A;OFICIAL;MANANA;93;46,01;41,38;41,75;44,74;43,93;7,44;9,61;9,32;7,75;6,53;20162
49379;I.E.T.I. DE TURBANA - SEDE PRINCIPAL;13838;TURBANA;BOLIVAR;A;OFICIAL;MANANA;52;47,34;47,38;44,88;48,69;48,53;8,2;8,61;9,21;8,83;7,3;20162
49403;INSTITUCION EDUCATIVA TECNICA AGROPECUARIA DE DESARROLLO RURAL DE MARIALABAJA;13442;MARIA LA BAJA;BOLIVAR;A;OFICIAL;COMPLETA;102;46,91;43,48;44,12;46,98;48,41;8,27;9,28;8,55;7,69;8,64;20162
49411;GIMNASIO CAMPESTRE DEL NORTE;15001;TUNJA;BOYACA;A;NO OFICIAL;COMPLETA;38;68,18;70,5;66,94;67,13;74,68;7,05;5,55;6,54;5,76;7,2;20162
49437;I.E. AGRICOLA ANTONIO NARIO - SEDE PRINCIPAL;15131;CALDAS;BOYACA;A;OFICIAL;COMPLETA;23;52,08;54,17;50,6;52,26;49,73;7,72;10,07;10,47;8,87;6,16;20162
49445;I.E. JUAN JOSE SAMANIEGO - SEDE PRINCIPAL;15215;CORRALES;BOYACA;A;OFICIAL;COMPLETA;44;55,11;56,27;51,95;54,4;51,02;8;8,99;9,1;8,03;6,65;20162
49452;I.E. EL CHARCO - SEDE PRINCIPAL;15676;SAN MIGUEL DE SEMA;BOYACA;A;OFICIAL;COMPLETA;11;48,09;51,45;49,81;53,63;58,72;5,53;8,5;6,27;6,94;5,96;20162
49460;I.E.T. SERGIO CAMARGO - SEDE PRINCIPAL;15362;IZA;BOYACA;A;OFICIAL;COMPLETA;15;58,6;62,26;55,8;58,73;53,26;6,9;8,17;7,33;6,15;6,26;20162
49486;IE TEC SEOR DE LOS MILAGROS - SEDE PRINCIPAL;15723;SATIVASUR;BOYACA;A;OFICIAL;COMPLETA;20;53,2;52,8;50,35;54,9;53,3;8,99;9,67;8,32;6,78;8,19;20162
49494;IE RIO DE PIEDRAS - SEDE PRINCIPAL;15837;TUTA;BOYACA;A;OFICIAL;COMPLETA;38;54,89;56,76;54,05;57,6;54,78;6,8;9,56;8,06;7,43;9,51;20162
49551;INSTITUCIN EDUCATIVA EL TREBOL - SEDE PRINCIPAL;17174;CHINCHINA;CALDAS;A;OFICIAL;MANANA;20;49,25;47,4;46,7;50;47,15;7,65;8,91;6,65;6,73;7,9;20162
49593;LICEO GABRIEL GARCIA MARQUEZ;20001;VALLEDUPAR;CESAR;A;NO OFICIAL;MANANA;37;49,7;46,72;46,1;50,08;50,05;9,1;9,83;9,45;7,9;9,9;20162
49619;INST. EDU. ALVARO ARAUJO NOGUERA;20032;ASTREA;CESAR;A;OFICIAL;MANANA;78;52,56;50,32;49,06;52,02;45,55;8,07;10,03;9,51;8,1;8,27;20162
49635;COL GIMN AMERICA;23001;MONTERIA;CORDOBA;A;NO OFICIAL;MANANA;14;55,57;64,42;57,07;61,64;57,57;6,02;10,31;9,5;7,37;9,17;20162
49643;GIMN VALLE GRANDE;23001;MONTERIA;CORDOBA;A;NO OFICIAL;COMPLETA;126;61,33;61,31;63,03;61,68;66,19;7,48;10,76;8,73;7,45;11,88;20162
49650;IE MARCELIANO POLO;23162;CERETE;CORDOBA;A;OFICIAL;TARDE;98;51,89;48,43;50,22;51,06;48,56;7,31;8,61;7,73;6,98;7,75;20162
49668;INSTITUCIN EDUCATIVA SAN JORGE;23466;MONTELIBANO;CORDOBA;A;OFICIAL;TARDE;31;52,61;52,74;51,25;54,29;49,58;8,77;10,44;8,83;9,03;9,31;20162
49684;SAGRADO CORAZON DE JESUS;23686;SAN PELAYO;CORDOBA;A;OFICIAL;MANANA;32;53,28;49,56;50,28;53,12;47,28;9,53;10,61;10,09;9,02;7,98;20162
49692;IE BENICIO AGUDELO;23807;TIERRALTA;CORDOBA;A;OFICIAL;TARDE;62;47,54;42,5;45,88;47,45;44,69;7,56;9,56;7,2;7,57;7,25;20162
49742;INSTITUCIN EDUCATIVA RURAL NUESTRA SEORA DEL PILAR;44090;DIBULLA;LA GUAJIRA;A;OFICIAL;MANANA;49;42,48;41,36;39,85;45,14;42,16;5,62;9,11;6,48;7,07;6,95;20162
49817;COL MPAL ROQUE DE LOS RIOS VALLE;47268;EL RETEN;MAGDALENA;A;OFICIAL;MANANA;96;46,44;40,75;42,09;43,87;41,45;7,21;8,72;8,12;7,68;7,1;20162
49825;IE MANUEL J. DEL CASTILLO;47189;CIENAGA;MAGDALENA;A;OFICIAL;TARDE;38;43,97;40,57;39,18;43,81;42,5;6,14;8,06;6,79;5,79;5,99;20162
49833;COL NZDO FCO DE PAULA STDER;47288;FUNDACION;MAGDALENA;A;OFICIAL;TARDE;39;46,92;42,07;41,33;44,76;42,28;8,93;9,25;8,62;7,87;6,9;20162
49882;LIC ANDINO;50001;VILLAVICENCIO;META;A;NO OFICIAL;COMPLETA;14;62,07;61,57;62,85;60,35;65;7,51;5,99;4,76;5,85;9,27;20162
49916;SEDE PRINCIPAL - MARIA MAZZARELLO;50313;GRANADA;META;A;OFICIAL;COMPLETA;25;55,52;55;53,76;56,96;54,08;6,77;7,36;7,13;5,03;6,05;20162
49924;SEDE PRINCIPAL -SAN JUAN DE ARAMA;50683;SAN JUAN DE ARAMA;META;A;OFICIAL;MANANA;55;52,67;48,81;51,3;51,8;49,72;8,13;9,7;8,61;7,75;8,97;20162
